"";"ring";"early troph";"late troph";"schizont";"early gam";"mature gam";"ookinete"
"PF3D7_0208100.2.1";1,002494;3,87315;43,796209;47,991294;11,810022;23,224178;0
"PF3D7_0208200.1";8,739389;57,676773;58,563092;6,718484;23,276813;80,179578;18,956024
"PF3D7_0208300.1";20,309993;34,794308;24,141724;18,115095;21,671471;34,212227;7,007388
"PF3D7_0208400.1";26,960121;68,786596;93,252538;185,541373;51,123159;104,166995;47,557106
"PF3D7_0208500.1";11,458845;11,819285;84,349446;49,553155;94,644585;294,236402;54,933142
"PF3D7_0208600.1";4,531097;17,203726;111,549861;58,638384;12,12322;32,265943;73,072237
"PF3D7_0208700.1.1";9,570082;0,923831;16,120012;0,510364;2,1e-05;449,224883;5,2e-05
"PF3D7_0208700.2.1";119,534145;126,597071;121,354736;55,929613;1772,980348;1013,499641;42,92276
"PF3D7_0208800.1";23,554591;42,129042;82,678575;58,873437;207,036739;929,899018;11,532461
"PF3D7_0208900.1";4,800996;3,013602;2,490737;0,57568;5,025022;7,830364;5,176758
"PF3D7_0209000.1";3,865991;2,320484;1,546615;0;33,463528;137,974459;146,779822
"PF3D7_0209100.1";18,207494;16,926776;66,069192;55,617568;10,310991;12,202412;49,499975
"PF3D7_0209200.1";27,539851;42,885903;33,681665;9,396254;56,205563;31,375869;106,891338
"PF3D7_0209300.1";4,566491;31,965511;30,556228;12,368772;45,710823;84,838106;35,169988
"PF3D7_0209400.1";4,539845;13,651662;32,806831;23,633299;14,389666;63,283368;12,426448
"PF3D7_0209500.1";8,127988;1,373458;4,599267;16,240114;2,260303;32,165429;196,855733
"PF3D7_0209600.1";9,694837;5,092316;101,143779;257,572094;13,841091;10,590533;12,335772
"PF3D7_0209700.1";114,875977;217,523766;145,311437;247,626661;46,874017;77,052279;70,950497
"PF3D7_0209800.1";359,803474;794,450458;784,404613;439,097761;145,812781;105,877113;204,423493
"PF3D7_0210000.1";1218,427936;4582,316447;4394,591068;4883,708645;5506,6097;20565,80043;501,668058
"PF3D7_0210100.1.1";1378,249575;5030,310964;2199,199271;2626,958368;11237,98287;4749,463033;507,968646
"PF3D7_0210200.1";4,719952;19,675246;100,655889;127,942515;36,466519;55,477496;30,781592
"PF3D7_0210300.1";3,995524;17,552272;132,771942;143,729138;68,965718;60,352081;13,544745
"PF3D7_0210400.1";15,990936;62,516689;159,579996;20,458822;98,135225;81,306065;15,949877
"PF3D7_0210500.1";9,109968;37,690911;20,182308;7,038746;29,166243;37,97167;20,553822
"PF3D7_0210600.1";4,219582;3,873102;123,039739;420,485164;38,557777;368,341429;238,352788
"PF3D7_0210700.1";7,482364;3,781596;21,8924;21,152752;32,756555;225,317563;30,858025
"PF3D7_0210800.1";29,73343;32,392629;20,812843;24,302863;69,687737;116,12749;6,917734
"PF3D7_0210900.1";113,814073;140,427283;175,842252;51,696756;18,136934;64,079411;50,931712
"PF3D7_0211100.1";2,958411;11,990576;4,294883;3,23241;5,289224;15,102789;0
"PF3D7_0211200.1";8,96408;32,015955;94,109104;129,553512;147,636711;115,705509;27,540529
"PF3D7_0211300.1";0,866275;0,624288;26,922786;21,547982;213,235544;161,052667;19,197449
"PF3D7_0211400.1";2,695796;1,025276;11,102484;0;54,594316;99,130808;9,260536
"PF3D7_0211500.1";2,836935;0,902034;16,882885;11,066517;16,274988;18,408612;12,87513
"PF3D7_0211600.1";4,155719;1,462333;15,883761;68,738224;31,074154;42,262947;14,032601
"PF3D7_0211700.1";5,83114;17,073306;28,952036;32,31189;6,684873;14,748519;13,056993
"PF3D7_0211800.1";141,272972;194,582026;214,327575;80,515244;63,936199;28,435934;37,694953
"PF3D7_0211900.1";18,501642;8,577955;170,283062;89,865899;34,581263;97,37124;15,259155
"PF3D7_0212000.1";4,433172;7,739908;89,72834;76,825244;301,674722;324,668908;38,293937
"PF3D7_0212100.1";30,735351;61,438721;149,716143;61,870559;41,907146;22,763287;98,840257
"PF3D7_0212200.1";46,67635;124,660035;52,954259;23,257484;161,623653;176,66032;67,590115
"PF3D7_0212300.1";141,460406;307,556578;278,996458;78,058947;34,991235;30,841043;36,909208
"PF3D7_0212400.1";18,431306;60,676427;46,283357;41,432089;22,972567;35,627785;20,627744
"PF3D7_0212500.1";50,847681;122,537847;84,901003;58,342109;14,107417;32,163799;55,600614
"PF3D7_0212600.1";14,56211;2,451036;167,787987;434,30827;106,895909;29,632103;109,268988
"PF3D7_0212700.1";4,634765;20,536751;25,602804;24,282827;9,213902;166,942518;255,703442
"PF3D7_0212800.1";3,243361;20,579944;44,560446;34,020756;52,240413;47,23672;18,44398
"PF3D7_0212900.1";5,171487;1,331495;136,651143;224,73828;7,827758;17,49547;26,089844
"PF3D7_0213000.1";12,915982;4,658143;53,853351;104,872411;146,470522;423,484166;45,223893
"PF3D7_0213100.1";38,435421;318,926228;176,900709;76,232921;82,838801;189,164287;268,919891
